x,y,lat,lon,wind_farm_count,total_power,i_index,j_index
3933500.0,3010500.0,53.952999114990234,8.952500343322754,4,7700,768,263
3934500.0,3010500.0,53.95309829711914,8.968299865722656,9,25000,768,264
3938500.0,3010500.0,53.9536018371582,9.031299591064453,1,5700,768,268
3939500.0,3010500.0,53.953800201416016,9.04699993133545,1,5700,768,269
3941500.0,3010500.0,53.95399856567383,9.078499794006348,2,6000,768,271
3942500.0,3010500.0,53.9541015625,9.094300270080566,4,13200,768,272
3930500.0,3011500.0,53.96189880371094,8.904999732971191,4,9200,769,260
3931500.0,3011500.0,53.96200180053711,8.92080020904541,3,6600,769,261
3932500.0,3011500.0,53.96220016479492,8.936599731445312,6,17000,769,262
3933500.0,3011500.0,53.96229934692383,8.952300071716309,1,2000,769,263
3934500.0,3011500.0,53.962398529052734,8.968099594116211,5,18900,769,264
3931500.0,3012500.0,53.97129821777344,8.920599937438965,8,17400,770,261
3934500.0,3012500.0,53.97169876098633,8.96780014038086,3,7400,770,264
3937500.0,3012500.0,53.97209930419922,9.01509952545166,1,3000,770,267
3940500.0,3012500.0,53.97249984741211,9.062399864196777,1,4500,770,270
3941500.0,3012500.0,53.972599029541016,9.078100204467773,7,16900,770,271
3942500.0,3012500.0,53.97269821166992,9.093899726867676,1,2350,770,272
3931500.0,3013500.0,53.98059844970703,8.920299530029297,3,6900,771,261
3932500.0,3013500.0,53.9807014465332,8.936100006103516,8,17250,771,262
3933500.0,3013500.0,53.980899810791016,8.951899528503418,1,2000,771,263
3934500.0,3013500.0,53.98099899291992,8.967599868774414,1,2000,771,264
3936500.0,3013500.0,53.981300354003906,8.999099731445312,4,17400,771,266
3937500.0,3013500.0,53.98139953613281,9.014900207519531,1,3000,771,267
3938500.0,3013500.0,53.98149871826172,9.030699729919434,7,22200,771,268
3939500.0,3013500.0,53.98160171508789,9.04640007019043,1,4200,771,269
3940500.0,3013500.0,53.9817008972168,9.062199592590332,4,17400,771,270
3941500.0,3013500.0,53.98189926147461,9.077899932861328,9,28200,771,271
3942500.0,3013500.0,53.981998443603516,9.093700408935547,2,4400,771,272
3930500.0,3014500.0,53.98979949951172,8.90429973602295,3,10200,772,260
3931500.0,3014500.0,53.989898681640625,8.920100212097168,1,4800,772,261
3932500.0,3014500.0,53.9900016784668,8.93589973449707,5,12600,772,262
3933500.0,3014500.0,53.99020004272461,8.951600074768066,4,8200,772,263
3935500.0,3014500.0,53.99039840698242,8.983200073242188,1,2000,772,265
3936500.0,3014500.0,53.990501403808594,8.998900413513184,5,15160,772,266
3937500.0,3014500.0,53.990699768066406,9.014699935913086,2,3800,772,267
3938500.0,3014500.0,53.99079895019531,9.030400276184082,1,3000,772,268
3939500.0,3014500.0,53.99089813232422,9.046199798583984,1,3050,772,269
3940500.0,3014500.0,53.99100112915039,9.062000274658203,2,6250,772,270
3941500.0,3014500.0,53.9911003112793,9.077699661254883,4,13170,772,271
3930500.0,3015500.0,53.999000549316406,8.90410041809082,2,5400,773,260
3931500.0,3015500.0,53.99919891357422,8.919899940490723,4,9200,773,261
3932500.0,3015500.0,53.999298095703125,8.935600280761719,11,27700,773,262
3933500.0,3015500.0,53.9995002746582,8.951399803161621,4,13800,773,263
3935500.0,3015500.0,53.999698638916016,8.98289966583252,1,2000,773,265
3936500.0,3015500.0,53.99980163574219,8.998700141906738,1,4800,773,266
3940500.0,3015500.0,54.000301361083984,9.061800003051758,6,18900,773,270
3941500.0,3015500.0,54.00040054321289,9.077500343322754,6,21050,773,271
3942500.0,3015500.0,54.0005989074707,9.093299865722656,2,8400,773,272
3930500.0,3016500.0,54.00830078125,8.903900146484375,7,16000,774,260
3931500.0,3016500.0,54.00849914550781,8.919599533081055,12,27950,774,261
3932500.0,3016500.0,54.00859832763672,8.935400009155273,4,15200,774,262
3935500.0,3016500.0,54.00899887084961,8.98270034790039,1,800,774,265
3936500.0,3016500.0,54.00910186767578,8.998499870300293,4,14770,774,266
3937500.0,3016500.0,54.009300231933594,9.014300346374512,3,10200,774,267
